ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Brands,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
1,variable,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,,1,6,,0,0,,,,,0,,,,FUNDAS,,,https://iuku.store/wp-content/uploads/2025/02/IMG_6249-1.jpg,,,,,,,,,0,,COLOR,Blanco,1,0,MODELO,iPhone 12 / 12 Pro,1,0
2,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,1,,COLOR,Blanco,,0,MODELO,iPhone 12 Pro Max,,0
3,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,2,,COLOR,Blanco,,0,MODELO,iPhone 13 / 14,,0
4,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,3,,COLOR,Blanco,,0,MODELO,iPhone 13 Pro,,0
5,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,4,,COLOR,Blanco,,0,MODELO,iPhone 13 Pro Max,,0
6,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,9,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,6,,COLOR,Blanco,,0,MODELO,iPhone 14 Pro,,0
7,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,7,,COLOR,Blanco,,0,MODELO,iPhone 14 Pro Max,,0
8,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,8,,COLOR,Blanco,,0,MODELO,iPhone 14 Plus,,0
9,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,9,,COLOR,Blanco,,0,MODELO,iPhone 15,,0
10,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,0,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,10,,COLOR,Blanco,,0,MODELO,iPhone 15 Pro,,0
11,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,11,,COLOR,Blanco,,0,MODELO,iPhone 15 Pro Max,,0
12,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,12,,COLOR,Blanco,,0,MODELO,iPhone 15 Plus,,0
13,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,13,,COLOR,Blanco,,0,MODELO,iPhone 16,,0
14,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,14,,COLOR,Blanco,,0,MODELO,iPhone 16 Pro,,0
15,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,15,,COLOR,Blanco,,0,MODELO,iPhone 16 Pro Max,,0
16,variation,,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,,FUNDAS,,,,,,id:76,,,,,,16,,COLOR,Blanco,,0,MODELO,iPhone 16 Plus,,0
